,Cloudiness,Country,Humidity,Lat,Lng,Max Temperature,Wind Speed,City
450,64,CN,99,34.68,112.45,81.0,8.05,lusaka
451,1,US,47,45.02,-93.22,82.0,5.82,kathu
452,1,US,25,31.42,-103.49,89.6,8.05,yiyang
453,37,MX,72,16.52,-98.75,81.77,2.68,le port
454,75,PT,88,37.77,-25.7,68.0,8.05,lompoc
455,94,ET,83,8.9,40.78,61.23,4.38,cobija
456,31,SO,61,7.98,49.82,81.59,26.08,waitati
457,75,PT,88,37.72,-25.43,68.0,8.05,noumea
458,40,EG,88,31.35,27.25,69.8,8.7,kyra
459,1,US,14,35.99,-106.08,79.0,13.87,mercedes
460,75,JP,94,34.67,138.95,75.2,23.04,abilene
461,0,RU,59,45.44,40.58,59.25,4.81,opuwo
462,6,BR,67,-5.68,-43.09,75.34,0.76,butembo
463,1,CA,83,43.75,-81.72,64.99,11.7,port blair
464,0,MA,64,35.17,-2.93,69.8,3.36,egvekinot
465,76,ID,78,-7.38,108.21,76.26,2.24,oussouye
466,1,US,34,43.49,-116.42,81.0,6.93,carauari
467,75,PT,88,33.08,-16.33,68.0,12.75,kupino
468,100,NO,84,70.95,27.35,43.75,12.64,larsnes
469,20,VE,87,7.77,-72.22,65.91,2.26,la vega
470,27,PG,81,-10.62,150.67,79.45,15.19,serendah
471,0,ES,83,41.91,0.19,71.01,11.41,pismo beach
472,40,US,23,43.52,-114.32,77.0,10.29,abbeville
473,50,MX,78,15.85,-97.07,81.0,4.5,verkh-usugli
474,0,AR,78,-40.81,-63.0,38.01,6.22,ochsenfurt
475,83,BO,77,-18.33,-59.75,59.45,3.67,zolotinka
476,22,RU,84,56.45,138.17,47.95,1.97,lata
477,100,NZ,100,-43.53,172.63,51.01,9.17,kloulklubed
478,0,IL,54,31.61,34.76,72.0,5.99,vengurla
479,75,PH,83,14.92,120.55,84.2,4.7,glendive
480,98,IS,93,63.84,-22.43,48.2,5.82,palmer
481,1,US,77,34.41,-119.86,64.99,10.29,margate
482,96,SE,93,59.76,18.7,69.01,9.17,bur gabo
483,75,OM,94,17.02,54.09,82.4,3.36,luoyang
484,100,ML,76,13.03,-9.49,75.16,7.02,saint anthony
485,40,BB,74,13.22,-59.52,82.4,17.22,pecos
486,1,US,9,35.53,-108.74,86.0,12.75,tecoanapa
487,100,CL,70,-26.37,-70.05,48.69,2.39,arrifes
488,0,ZW,49,-21.05,31.67,60.24,4.18,bedesa
489,19,IN,34,29.28,77.72,95.77,5.97,eyl
490,51,GN,77,9.54,-13.68,80.6,4.34,vila franca do campo
491,28,RU,33,62.0,132.43,83.48,2.77,marsa matruh
492,99,LR,80,4.38,-7.72,75.94,7.45,espanola
493,18,ML,13,18.9,-3.53,94.75,10.92,shimoda
494,75,US,94,27.8,-97.4,84.0,11.41,kropotkin
495,20,GB,89,51.03,-4.22,55.99,11.01,parnarama
496,1,US,83,33.19,-82.53,73.4,4.7,goderich
497,100,SB,71,-8.1,156.84,83.16,6.13,yuzhno-yeniseyskiy
498,0,CL,72,-25.4,-70.48,57.38,2.39,nador
499,100,RU,33,67.45,153.68,57.58,8.75,kawalu
500,40,BR,100,-9.67,-35.74,71.6,2.24,kuna
501,100,MM,86,22.93,97.75,76.71,0.63,camacha
502,90,IN,94,24.93,84.83,80.6,6.93,kjollefjord
503,100,CU,84,20.35,-74.5,81.55,9.78,san cristobal
504,1,US,37,64.84,-147.72,69.8,2.48,samarai
505,100,KZ,28,47.47,84.87,65.37,8.41,monzon
506,100,SO,45,11.28,49.18,90.39,14.81,hailey
507,86,GL,66,60.72,-46.03,48.2,9.17,puerto escondido
508,99,BR,96,-2.87,-67.8,73.58,0.94,viedma
509,98,DE,87,50.98,8.1,64.99,1.01,wahran
510,75,AU,65,-13.85,136.42,80.6,9.17,robore
511,75,TW,74,22.76,121.14,87.8,12.75,bolshoye sorokino
512,65,RU,86,57.3,53.87,51.01,10.0,ayan
513,100,GH,88,4.88,-1.76,76.35,8.72,christchurch
514,1,US,66,35.44,-94.35,84.2,6.93,gat
515,46,CM,96,3.52,15.05,67.86,1.66,viligili
516,0,IN,48,27.65,74.38,90.59,16.64,lubao
517,30,IR,16,29.11,58.36,85.35,4.03,grindavik
518,75,FR,68,49.57,3.67,66.2,10.29,isla vista
519,0,CN,27,39.82,98.3,72.54,6.26,norrtalje
520,83,BR,79,-5.74,-39.63,70.48,1.14,salalah
521,46,RU,57,63.05,179.32,45.3,14.9,kita
522,75,TR,93,40.0,41.5,50.0,3.36,bathsheba
523,91,RU,63,67.47,86.58,72.32,12.68,gallup
524,75,IN,100,15.02,74.02,78.8,4.7,diego de almagro
525,40,GD,88,12.16,-61.73,80.6,16.11,chiredzi
526,4,RU,37,66.77,123.37,77.81,9.44,khatauli
527,0,CN,51,46.47,124.87,82.99,8.59,conakry
528,0,PE,78,-5.56,-80.82,66.67,12.53,churapcha
529,49,UA,67,47.84,30.26,65.46,2.77,harper
530,75,AU,77,-28.81,153.28,61.0,5.82,araouane
531,81,SB,72,-10.45,161.92,85.06,10.4,halalo
532,75,JP,83,33.73,135.98,77.0,6.93,corpus christi
533,59,LK,71,7.42,81.82,82.09,4.23,northam
534,15,GB,82,51.8,-4.97,57.2,29.97,avera
535,100,IN,75,18.77,84.42,84.9,10.02,gizo
536,99,RU,71,56.05,99.51,73.09,2.82,taltal
537,6,NZ,70,-41.08,173.0,57.99,3.0,srednekolymsk
538,93,ID,66,0.54,123.06,83.93,2.91,maceio
